title,budget,location,posted,proposals,badges,description,link,score
生成式 AI 應用教學： MG動態廣告短片顧問,"$5,000",可遠端,2026/05/08,7,"急件, 長期",尋找具備AE與AI動態圖像生成經驗的創作者講師。（例如：AE結合AI圖像生成外掛等） 背景與目標： 個人學習/進修 計畫…,https://www.tasker.com.tw/cases/TK26042613ZBIL36,1
簡易-網路蒐集資料跟AI生圖,"$1,350",可遠端,2026/05/07,6,,提供您30所學校……..,https://www.tasker.com.tw/cases/TK26050710NASP46,1
資訊軟體專案規劃／設計／開發,"$300,000",台南市,2026/05/04,28,長期,一、案件說明：主要以ASP.Net或ASP.Net core(C#)、SQL資料庫、WEB/雲端系統程式設計或APP/I…,https://www.tasker.com.tw/cases/TK26022419TTIT70,1
編寫文字自動報讀發音程式,"$4,000",可遠端,2026/04/30,20,,用於哪個行業：教材學習 細節說明： 我們要做一個簡單自動讀取字串，顯示上、下、左、右汽泡框加文字及機器報讀發音的簡易模組…,https://www.tasker.com.tw/cases/TK26042715ZLRQ44,1
網頁養成系統設計,"$50,000",可遠端,2026/04/30,30,長期,用於哪個行業：網頁簡易會員養成 細節說明： 需要高效率且熟悉複雜系統的網頁高手 製作一個簡易的會員……..,https://www.tasker.com.tw/cases/TK26042201XPOI58,1
建立個人的網站,"$5,000",可遠端,2026/04/30,40,長期,用於哪個行業……..,https://www.tasker.com.tw/cases/TK26042514IKVT80,1
室內軟裝家具AI渲染,"$6,000",可遠端,2026/04/28,11,急件,【委外製作需求】日本住宅案：室內軟裝 AI 概念渲染圖 一、 專案概述 本專案為日本度假別墅。目前硬裝天地壁已定案，本次…,https://www.tasker.com.tw/cases/TK26042815VSEI85,1
AI 導入流程,"$5,000",新北市,2026/04/28,15,急件,AI 應用的行業/領域：電子商……..,https://www.tasker.com.tw/cases/TK26042504UOXP07,1
社群/網站經營,"$10,000",桃園市,2026/04/25,18,"急件, 長期",我正在尋求專家可以提供社群/網站經營相關服務，服務內容 請參考：&lt;a href='https://www.tasker.…,https://www.tasker.com.tw/cases/TK26042519ASPZ64,1
系統建置,"$100,000",台北市,2026/04/23,56,長期,2026/04/23,https://www.tasker.com.tw/cases/TK26031316JFSZ93,1
AI 導入顧問,"$5,000",可遠端,2026/04/20,23,長期,熟悉A……..,https://www.tasker.com.tw/cases/TK26041704FFGE34,1
API串接服務-,"$20,000",新北市,2026/04/20,29,,meepshop以及SUPE……..,https://www.tasker.com.tw/cases/TK26041513VAQK01,1
邏輯類運算程式,"$100,000",新北市,2026/04/20,35,急件,用於哪個行業……..,https://www.tasker.com.tw/cases/TK26041518KXFG05,1
AI影片製作(需要非常逼真且注重細節),"$30,000",桃園市,2026/04/17,27,,"用於哪個行業：露營產品,焚……..",https://www.tasker.com.tw/cases/TK26041409XJNK94,1
AI 解決方案,"$100,000",台北市,2026/04/16,44,長期,AI 應用的行業/領域：科技……..,https://www.tasker.com.tw/cases/TK26040922DHWZ00,1
自動交易程式編碼攥寫,"$3,000",桃園市,2026/04/16,12,急件,簡易的監控庫……..,https://www.tasker.com.tw/cases/TK26041201SZPS26,1
品牌社群經營與客群開發,"$2,000",可遠端,2026/04/10,15,長期,兼職品牌社群小編與客群開發，能更……..,https://www.tasker.com.tw/cases/TK26040310FRZA24,1
AI 導入,"$10,000",新北市,2026/04/10,19,"長期, 需發票",軟體顧問：AI……..,https://www.tasker.com.tw/cases/TK26040703GNGH57,1
公司營運系統客製、品牌設計、商品製作影音文案美編,"$100,000",新北市,2026/04/10,29,"長期, 需發票",公司營運系統……..,https://www.tasker.com.tw/cases/TK26040704UIIA20,1
【 外包徵才 】Garena AI 影像設計專員（專案期間 6 個月）,"$40,000",台北市,2026/04/08,4,長期,【 工作內容 】 這是一個專案為期約半年的外包職位，受限於專案保密政策，需進駐辦公室執行，無法提供遠端協作 運用 Sta…,https://www.tasker.com.tw/cases/TK26040810DFPO95,1
AR 寵物遊玩助養 APP,"$1,000,000",可遠端,2026/04/07,11,"長期, 需發票",注意! 要有開發AR 經驗 注意! 要有開發AR 經驗 注意! 要有開發AR 經驗 一、專案背景 本專案為一套「寵物虛實…,https://www.tasker.com.tw/cases/TK26040718MIXL25,1
AI漫劇製作外包招募｜兒童創意IP製作｜,"$240,000",可遠端,2026/04/07,14,長期,用於哪個行業：文創領域、形象IP創作。 細節說明：我們正在打造一個以「AI短影音漫劇」為核心的內容品牌， 主軸為 台灣兒…,https://www.tasker.com.tw/cases/TK26040517PAEQ28,1
AI漫畫生成專案人員,"$30,000",台中市,2026/04/07,19,,🎬【專案內容】 公司正在開發： 📚 台灣12縣市地名繪本系列 每個城市都會： 結合當地歷史文化 ●設計冒險故事 ●發…,https://www.tasker.com.tw/cases/TK26033111QPFF55,1
傳銷獎金後台設計,"$1,000",新北市,2026/04/07,23,,傳銷……..,https://www.tasker.com.tw/cases/TK26040210PKUB24,1
按摩網站設計與架設,"$50,000",台北市,2026/04/07,68,,"1.完成期限：1個月 2.網站概述：建立一個全球按摩的預定網站，風格偏向高質感,療癒,神必且具有信任感,整體走專業與身心…",https://www.tasker.com.tw/cases/TK26040212OOIV93,1
網站圖文內容修改人員,"$1,500",可遠端,2026/04/02,17,急件,用於哪個行業：ESG 細節說明：細節說明：在已架好的網站上面修改……..,https://www.tasker.com.tw/cases/TK26033008RMCV82,1
網站架設,"$10,000",可遠端,2026/04/01,113,急件,我想……..,https://www.tasker.com.tw/cases/TK26030415IINQ62,1
製作 Google 試算表巨集（自動化腳本）,"$3,000",台中市,2026/03/30,17,急件,用於哪個行業：……..,https://www.tasker.com.tw/cases/TK26032512BNPX29,1
AI Mv,"$2,000",可遠端,2026/03/30,13,,用Ai做……..,https://www.tasker.com.tw/cases/TK26032620LWRL61,1
AI影片製作,"$30,000",台中市,2026/03/27,26,長期,用於哪個行業： 細節說明： 我是做智能家居規劃……..,https://www.tasker.com.tw/cases/TK26032413ZTTK37,1
簡化sql,"$1,000",可遠端,2026/03/27,26,急件,2026/03/27,https://www.tasker.com.tw/cases/TK26032317FRXV32,1
AI影片特效,"$2,000",可遠端,2026/03/26,11,長期,用於哪個行業：IP建立/建案/美妝保養 細節說明：希望可以做出吸睛開頭，……..,https://www.tasker.com.tw/cases/TK26032521BNIP10,1
設計感一頁式網站製作（已有內容，需轉換＋優化 UI/UX）,"$1,500",可遠端,2026/03/23,35,,目前已有完整內容（Gamma 簡報），希望將其轉換為一個具設計感的一頁式網站（Landing Page），用於品牌展示與…,https://www.tasker.com.tw/cases/TK26031811ZRID97,1
模擬器 自動化小工具,"$3,000",桃園市,2026/03/23,25,急件,需要一個 Windows 自動化腳本（AutoHotkey 或類似工具）。 功能： 1. 在指定視窗中偵測特定圖示（Im…,https://www.tasker.com.tw/cases/TK26031617SVTJ24,1
AI短片生成,"$100,000",可遠端,2026/03/17,36,長期,AI短影……..,https://www.tasker.com.tw/cases/TK26030718AVKC40,1
wordpress既有網頁修改一日工時,"$3,500",新北市,2026/03/17,26,,用於哪個行業：服裝零售 細節說明： 1.……..,https://www.tasker.com.tw/cases/TK26031216FWNT47,1
活動體驗的品牌網站(旅行社內容),"$20,000",可遠端,2026/03/16,29,,一、架設WORDPRESS購物車……..,https://www.tasker.com.tw/cases/TK26031210IJRB70,1
軟體應用程式（工程大）,"$20,000",新竹縣,2026/03/16,35,長期,我期望的需求……..,https://www.tasker.com.tw/cases/TK26031118KPOA24,1
AI影片生成,"$2,000",台中市,2026/03/16,14,急件,用於哪個行業：公司 細節說明：我有實體公司……..,https://www.tasker.com.tw/cases/TK26031001OABH66,1
一番賞類型網站畫面調整,"$50,000",高雄市,2026/03/16,39,長期,需求：修改現有網站 ，網站類型為一番賞抽獎類型……..,https://www.tasker.com.tw/cases/TK26031012WNSD20,1
爬蟲服務,"$5,000",可遠端,2026/03/03,17,"長期, 需發票",我正在尋求專家可以提供爬蟲服務相關服務，服務內容 請參考：&lt;a href='https://www.tasker.com…,https://www.tasker.com.tw/cases/TK26030310ZDZC92,1
專業程式撰寫,"$10,000",彰化縣,2026/02/23,50,長期,用於哪個行業……..,https://www.tasker.com.tw/cases/TK26022311WKDE15,1
AI 解決方案,"$100,000",彰化縣,2026/02/13,47,長期,AI 應用的行業/領域：製造……..,https://www.tasker.com.tw/cases/TK26020811NKPO66,1
自動化設備,"$300,000",彰化縣,2026/02/13,25,"長期, 需發票",需Ai外包……..,https://www.tasker.com.tw/cases/TK26020812XITP42,1
C++程式設計編寫,"$100,000",台北市,2026/02/09,10,長期,您好 我們是工程顧問公司 常態需……..,https://www.tasker.com.tw/cases/TK26020508RQWA62,1
移動位移模組系統,預算詳談,可遠端,2026/02/09,12,"急件, 長期",尋找其他微控制系統的系……..,https://www.tasker.com.tw/cases/TK26020323KGRU74,1
手機 App 監控數據軟體,預算詳談,可遠端,2026/02/09,33,長期,外包一個手機 App 監控數據軟體 Android 基本功能需求如下: 1. 手機WI……..,https://www.tasker.com.tw/cases/TK26020311XWNN83,1
Nova Bio Labs 業務報價管理系統,"$100,000",可遠端,2026/02/09,41,"急件, 長期, 需發票",Hello 我們公司位置是在美國，我人有時在台灣，協助海外客人採購實驗室的抗原抗體試劑，和實驗室需要使用到的耗材，我們的…,https://www.tasker.com.tw/cases/TK26020405UONW95,1
遊戲開發委託詢價：小品級休閒遊戲全案委托,預算詳談,可遠端,2026/02/06,14,,您好！ 我是Thomas，是一位遊戲愛好者，目前計劃開發一款小品級休閒遊戲，我沒有游戲開發經驗，想委托貴團隊進行全案開發…,https://www.tasker.com.tw/cases/TK26013110VHLN02,1
AI影片生成,"$50,000",可遠端,2026/02/03,21,,重製現有YT的機器人技術應用情境影片，約60秒，……..,https://www.tasker.com.tw/cases/TK26013009WPKO81,1
Airtable設定詢問,"$5,000",高雄市,2026/02/03,13,急件,我們公司的前同事有導入Airtable的系統，並串接公司……..,https://www.tasker.com.tw/cases/TK26012914EQBC14,1
健康管理app,"$100,000",桃園市,2026/01/29,58,"長期, 需發票",你好，我公司想要開發一個專症健康管理(酸痛緩解、亞健康症狀)App，……..,https://www.tasker.com.tw/cases/TK26012507KFEB00,1
